Customer ID,Age,Gender,Annual Income (k$),Spending Score (1-100),Purchase Frequency,Payment Method,Browsing Time (min),Total Purchases,Satisfaction Level
100285,50,Female,132,22,22,UPI,14,16,Low
100286,29,Female,107,99,16,Debit Card,66,16,High
100287,39,Male,81,15,14,Cash,59,3,Low
100288,39,Male,88,7,19,UPI,62,25,Low
100289,47,Male,98,13,22,Cash,105,18,Low
100290,55,Female,24,36,15,Credit Card,67,39,Low
100291,55,Female,132,16,21,Cash,15,42,Low
100292,25,Female,111,41,4,Debit Card,39,40,Medium
100293,44,Male,20,21,12,Cash,102,32,Low
100294,44,Male,32,28,7,Credit Card,100,49,Low
100295,51,Female,86,74,11,Credit Card,90,3,Medium
100296,38,Male,103,83,7,UPI,8,8,Medium
100297,47,Male,56,17,20,Credit Card,70,5,Low
100298,50,Female,18,65,3,Debit Card,37,20,Medium
100299,45,Male,34,13,4,Credit Card,77,44,Low
100300,50,Male,42,36,2,UPI,39,25,Low
100301,22,Male,118,58,20,Credit Card,42,6,Medium
100302,36,Female,58,20,15,Credit Card,99,28,Low
100303,21,Female,37,52,20,Cash,82,23,Medium
100304,52,Male,61,6,12,UPI,61,24,Low
100305,34,Female,27,23,21,Cash,99,10,Low
100306,45,Female,109,42,17,UPI,37,10,Medium
100307,47,Female,30,24,18,UPI,48,33,Low
100308,46,Male,133,5,8,UPI,57,9,Low
100309,23,Female,131,32,24,UPI,84,18,Low
100310,52,Male,24,46,8,UPI,24,3,Medium
100311,58,Male,136,17,5,UPI,67,33,Low
100312,54,Female,52,75,24,Credit Card,55,10,High
100313,41,Male,58,27,9,Credit Card,118,27,Low
100314,46,Female,109,68,20,Credit Card,18,35,Medium
100315,48,Female,88,23,20,Debit Card,39,18,Low
100316,52,Male,127,87,23,UPI,114,7,High
100317,50,Male,65,34,5,Credit Card,117,7,Low
100318,38,Female,66,21,10,UPI,49,22,Low
100319,49,Female,106,22,1,Cash,37,10,Low
100320,40,Female,73,65,24,Debit Card,65,27,Medium
100321,50,Female,27,32,4,UPI,97,45,Low
100322,20,Male,26,62,24,Credit Card,76,4,Medium
100323,35,Male,64,28,16,Debit Card,57,12,Low
100324,42,Male,71,82,18,Cash,102,3,High
100325,59,Female,133,7,12,UPI,119,48,Low
100326,48,Male,71,54,20,Debit Card,115,43,Medium
100327,20,Male,22,70,15,UPI,82,3,Medium
100328,57,Male,120,14,18,Debit Card,82,25,Low
100329,41,Male,134,94,5,Credit Card,54,26,Medium
100330,49,Female,77,55,14,UPI,19,40,Medium
100331,39,Male,86,58,24,UPI,46,7,Medium
100332,40,Male,145,44,7,UPI,118,46,Medium
100333,19,Male,27,46,11,Credit Card,24,34,Medium
100334,44,Male,66,14,15,Debit Card,96,10,Low
100335,59,Female,76,44,21,Credit Card,72,3,Medium
100336,19,Female,133,41,11,Cash,11,28,Medium
100337,43,Male,123,73,7,Cash,70,11,Medium
100338,34,Female,22,95,21,Cash,77,32,High
100339,57,Female,109,2,23,Debit Card,27,8,Low
100340,50,Female,139,82,20,UPI,40,20,High
100341,26,Female,67,5,20,Debit Card,16,5,Low
100342,56,Male,77,90,4,Cash,27,41,Medium
100343,46,Female,109,87,24,Debit Card,99,13,High
100344,59,Female,95,12,1,UPI,110,11,Low
100345,43,Male,71,78,21,UPI,15,34,High
100346,52,Male,81,77,2,Debit Card,5,44,Medium
100347,42,Male,60,99,4,Cash,81,3,Medium
100348,41,Male,108,47,5,UPI,43,15,Medium
100349,30,Female,127,79,24,Cash,97,33,High
100350,24,Male,107,35,2,UPI,74,43,Low
100351,53,Female,63,19,2,Cash,35,10,Low
100352,37,Female,37,79,18,Debit Card,13,3,High
100353,18,Male,76,63,24,Credit Card,60,46,Medium
100354,25,Male,25,8,14,Credit Card,22,48,Low
100355,33,Female,87,23,3,Cash,63,41,Low
100356,31,Female,132,13,21,UPI,71,14,Low
100357,29,Male,102,23,18,Debit Card,100,33,Low
100358,40,Male,103,31,22,UPI,113,33,Low
100359,32,Male,69,30,10,Credit Card,7,36,Low
100360,45,Female,23,42,6,Credit Card,113,23,Medium
100361,51,Female,26,2,2,Debit Card,34,1,Low
100362,19,Male,127,11,20,Cash,68,27,Low
100363,49,Female,22,25,11,Debit Card,74,32,Low
100364,40,Male,50,29,18,Credit Card,118,21,Low
100365,39,Female,139,22,14,Debit Card,95,44,Low
100366,42,Female,64,19,20,Credit Card,6,20,Low
100367,39,Male,121,73,13,UPI,24,27,Medium
100368,39,Male,23,41,7,Credit Card,85,36,Medium
100369,59,Male,81,38,21,Credit Card,101,41,Low
100370,23,Female,67,29,20,Debit Card,85,32,Low
100371,32,Female,96,74,10,Debit Card,105,39,Medium
100372,54,Male,124,22,19,Debit Card,33,29,Low
100373,50,Female,67,88,13,UPI,13,46,Medium
100374,25,Male,128,8,22,Debit Card,8,23,Low
100375,22,Female,77,47,2,UPI,114,35,Medium
100376,56,Male,33,6,20,Cash,44,15,Low
100377,21,Female,138,7,12,Debit Card,59,43,Low
100378,23,Female,100,84,8,Debit Card,17,10,Medium
100379,49,Female,84,81,18,Cash,10,15,High
100380,47,Female,61,36,2,Cash,114,25,Low
100381,52,Male,122,8,16,Cash,77,17,Low
100382,57,Female,34,77,8,Credit Card,30,31,Medium
100383,33,Male,51,88,16,Credit Card,117,11,High
100384,30,Male,144,46,8,Credit Card,107,20,Medium
100385,59,Male,50,64,23,Cash,45,31,Medium
100386,47,Male,147,31,13,UPI,115,16,Low
100387,36,Female,78,23,6,Debit Card,46,36,Low
100388,34,Male,21,61,1,Credit Card,82,39,Medium
100389,36,Female,134,81,2,Cash,116,11,Medium
100390,45,Female,36,50,7,Debit Card,65,20,Medium
100391,43,Female,60,46,13,Credit Card,66,26,Medium
100392,54,Female,124,88,4,Cash,102,49,Medium
100393,43,Male,60,43,9,Debit Card,72,26,Medium
100394,40,Female,42,10,19,Credit Card,25,42,Low
100395,26,Male,101,95,20,Credit Card,35,47,High
100396,29,Female,49,20,3,Credit Card,115,6,Low
100397,18,Female,143,16,23,Credit Card,47,45,Low
100398,18,Male,23,78,2,Credit Card,25,35,Medium
100399,51,Female,23,3,16,Cash,111,8,Low
100400,49,Female,36,30,10,Debit Card,33,7,Low
100401,42,Female,84,18,12,Credit Card,59,37,Low
100402,57,Female,79,59,18,Debit Card,62,16,Medium
100403,18,Female,57,70,2,Credit Card,28,9,Medium
100404,33,Male,31,84,14,Cash,49,11,Medium
100405,56,Female,82,35,12,Cash,84,21,Low
100406,22,Female,43,19,20,Debit Card,13,46,Low
100407,39,Male,149,26,24,Credit Card,89,7,Low
100408,46,Female,58,35,24,Cash,70,12,Low
100409,20,Male,147,76,24,Credit Card,6,40,High
100410,29,Female,148,72,8,Credit Card,41,21,Medium
100411,43,Female,21,57,23,UPI,41,5,Medium
100412,33,Male,68,49,22,Cash,73,6,Medium
100413,54,Female,60,10,7,Debit Card,50,43,Low
100414,39,Female,18,85,13,Debit Card,10,26,Medium
100415,46,Male,105,29,15,Credit Card,52,29,Low
100416,31,Male,75,95,14,Credit Card,116,3,Medium
100417,45,Female,125,71,5,Credit Card,12,11,Medium
100418,22,Male,51,98,8,UPI,36,23,Medium
100419,47,Female,17,98,18,Credit Card,105,25,High
100420,22,Male,27,94,5,Credit Card,81,12,Medium
100421,29,Female,102,68,23,Debit Card,71,1,Medium
100422,33,Male,90,94,9,UPI,77,4,Medium
100423,43,Male,22,89,10,Debit Card,72,1,Medium
100424,43,Male,97,78,17,UPI,32,6,High
100425,38,Male,23,24,3,UPI,44,34,Low
100426,56,Male,92,43,1,Cash,20,27,Medium
100427,53,Male,138,95,7,Cash,61,45,Medium
100428,50,Male,56,39,15,Cash,79,16,Low
100429,47,Male,55,92,19,Debit Card,59,11,High
100430,54,Male,103,25,8,Cash,87,14,Low
100431,40,Female,91,83,11,Cash,110,38,Medium
100432,27,Male,68,68,2,Debit Card,90,48,Medium
100433,22,Female,111,34,20,UPI,43,49,Low
100434,53,Male,112,96,2,UPI,80,10,Medium
100435,51,Female,70,89,11,Credit Card,59,13,Medium
100436,48,Female,114,86,20,Credit Card,34,45,High
100437,27,Male,24,53,17,Cash,108,34,Medium
100438,36,Male,58,92,10,Debit Card,46,33,Medium
100439,49,Female,144,55,5,UPI,9,33,Medium
100440,18,Female,144,53,3,Debit Card,105,39,Medium
100441,22,Male,33,18,9,Credit Card,49,13,Low
100442,21,Male,94,7,20,Cash,68,17,Low
100443,33,Male,103,63,22,Credit Card,36,9,Medium
100444,41,Female,15,75,2,Credit Card,102,13,Medium
100445,33,Male,144,42,23,UPI,16,16,Medium
100446,19,Male,41,11,19,Debit Card,111,37,Low
100447,45,Male,16,9,17,UPI,70,30,Low
100448,49,Male,33,35,12,UPI,115,39,Low
100449,44,Male,128,87,20,Credit Card,56,33,High
100450,37,Female,70,97,9,Cash,75,40,Medium
100451,41,Female,109,65,23,Credit Card,36,6,Medium
100452,29,Male,71,84,4,Debit Card,108,12,Medium
100453,52,Male,116,5,18,Cash,39,2,Low
100454,50,Female,84,93,16,UPI,117,33,High
100455,50,Male,96,26,21,Debit Card,10,15,Low
100456,54,Female,63,51,24,Debit Card,26,17,Medium
100457,29,Male,105,38,10,Debit Card,93,35,Low
100458,20,Female,19,3,22,Debit Card,51,31,Low
100459,18,Female,71,85,12,Credit Card,17,30,Medium
100460,50,Male,106,59,11,Debit Card,27,38,Medium
100461,57,Female,50,13,5,Credit Card,113,16,Low
100462,27,Male,126,95,20,Cash,48,42,High
100463,46,Female,27,81,11,Debit Card,114,45,Medium
100464,30,Male,136,35,16,Credit Card,13,40,Low
100465,29,Male,123,87,15,Debit Card,110,17,Medium
100466,48,Male,106,3,6,Cash,63,7,Low
100467,19,Female,116,53,13,UPI,105,5,Medium
100468,52,Male,70,55,16,Cash,105,40,Medium
100469,40,Male,59,45,3,UPI,34,27,Medium
100470,34,Male,74,66,18,Credit Card,88,1,Medium
100471,43,Female,68,67,1,Cash,106,2,Medium
100472,25,Male,51,84,17,Credit Card,48,4,High
100473,46,Female,51,44,20,Cash,53,1,Medium
100474,43,Female,28,73,6,Debit Card,20,29,Medium
100475,27,Female,109,68,9,UPI,118,21,Medium
100476,43,Male,116,62,4,Debit Card,90,42,Medium
100477,51,Male,56,25,7,Credit Card,106,35,Low
100478,58,Female,15,52,23,Debit Card,78,34,Medium
100479,24,Male,37,50,22,UPI,88,39,Medium
100480,21,Male,42,1,11,UPI,57,2,Low
100481,28,Female,146,39,23,UPI,109,25,Low
100482,46,Female,32,52,3,UPI,6,6,Medium
100483,53,Male,63,76,16,UPI,71,8,High
100484,42,Female,61,40,6,Credit Card,46,35,Low
100485,38,Male,129,60,7,Debit Card,68,19,Medium
100486,53,Female,53,88,12,Cash,12,9,Medium
100487,27,Male,20,73,7,Debit Card,77,33,Medium
100488,54,Male,67,84,22,Debit Card,96,8,High
100489,26,Female,39,69,19,Credit Card,25,38,Medium
100490,41,Male,113,20,22,Credit Card,119,32,Low
100491,52,Male,79,85,16,Credit Card,101,23,High
100492,52,Female,147,2,18,Credit Card,64,34,Low
100493,53,Male,22,85,10,Debit Card,38,23,Medium
100494,35,Male,53,88,1,UPI,8,46,Medium
100495,56,Male,125,9,8,UPI,116,32,Low
100496,49,Female,57,39,3,Credit Card,93,1,Low
100497,41,Female,96,30,16,Cash,66,7,Low
100498,40,Female,137,54,24,Debit Card,100,43,Medium
100499,49,Female,147,82,3,Debit Card,80,48,Medium
100500,54,Female,18,58,2,Cash,6,24,Medium
100501,29,Male,122,44,12,Credit Card,115,2,Medium
100502,30,Male,107,43,8,Debit Card,54,18,Medium
100503,40,Male,143,10,19,Cash,116,19,Low
100504,42,Female,108,48,24,UPI,80,42,Medium
100505,52,Male,70,85,18,Cash,118,36,High
100506,58,Female,17,86,20,Cash,114,28,High
100507,47,Male,36,17,15,Credit Card,30,35,Low
100508,34,Female,70,5,17,Debit Card,89,32,Low
100509,37,Male,32,70,18,Cash,112,13,Medium
100510,42,Male,130,74,18,Debit Card,41,6,High
100511,39,Female,98,64,9,Debit Card,59,29,Medium
100512,30,Male,44,66,5,Credit Card,104,10,Medium
100513,36,Male,94,71,11,UPI,22,40,Medium
100514,53,Female,80,4,4,Debit Card,28,10,Low
100515,29,Male,24,83,10,Credit Card,34,34,Medium
100516,58,Male,73,28,4,Credit Card,21,20,Low
100517,36,Female,65,84,23,Cash,84,47,High
100518,29,Female,137,94,3,Debit Card,46,33,Medium
100519,26,Female,68,38,16,Credit Card,85,11,Low
100520,24,Female,95,66,21,UPI,112,24,Medium
100521,45,Female,23,67,11,Cash,16,33,Medium
100522,31,Male,115,60,9,UPI,31,22,Medium
100523,48,Female,53,47,1,Credit Card,59,48,Medium
100524,36,Female,124,25,10,Cash,8,12,Low
